code	province	district	neighborhood
4121063200	경기도	광명시	하안2동
4121063300	경기도	광명시	하안3동
4121063400	경기도	광명시	하안4동
4121064000	경기도	광명시	소하1동
4121065000	경기도	광명시	소하2동
4121065500	경기도	광명시	일직동
4121066000	경기도	광명시	학온동
4122025000	경기도	평택시	팽성읍
4122025300	경기도	평택시	안중읍
4122025600	경기도	평택시	포승읍
4122025900	경기도	평택시	청북읍
4122031000	경기도	평택시	진위면
4122032000	경기도	평택시	서탄면
4122033000	경기도	평택시	고덕면
4122034000	경기도	평택시	오성면
4122037000	경기도	평택시	현덕면
4122051000	경기도	평택시	중앙동
4122052000	경기도	평택시	서정동
4122053500	경기도	평택시	송탄동
4122055000	경기도	평택시	지산동
4122056000	경기도	평택시	송북동
4122057000	경기도	평택시	신장1동
4122058000	경기도	평택시	신장2동
4122059000	경기도	평택시	신평동
4122060000	경기도	평택시	원평동
4122061000	경기도	평택시	통복동
4122062000	경기도	평택시	비전1동
4122063000	경기도	평택시	비전2동
4122063500	경기도	평택시	용이동
4122064000	경기도	평택시	세교동
4122065000	경기도	평택시	동삭동
4122066000	경기도	평택시	고덕동
4125051000	경기도	동두천시	생연1동
4125052000	경기도	동두천시	생연2동
4125053500	경기도	동두천시	중앙동
4125055000	경기도	동두천시	보산동
4125056500	경기도	동두천시	불현동
4125056600	경기도	동두천시	송내동
4125058000	경기도	동두천시	소요동
4125060000	경기도	동두천시	상패동
4127151000	경기도	안산시 상록구	일동
4127151500	경기도	안산시 상록구	이동
4127152500	경기도	안산시 상록구	사동
4127153200	경기도	안산시 상록구	사이동
4127153700	경기도	안산시 상록구	해양동
4127154000	경기도	안산시 상록구	본오1동
4127155000	경기도	안산시 상록구	본오2동
4127156000	경기도	안산시 상록구	본오3동
4127157000	경기도	안산시 상록구	부곡동
4127158000	경기도	안산시 상록구	월피동
4127159000	경기도	안산시 상록구	성포동
4127160000	경기도	안산시 상록구	반월동
4127161000	경기도	안산시 상록구	안산동
4127351000	경기도	안산시 단원구	와동
4127352500	경기도	안산시 단원구	고잔동
4127353200	경기도	안산시 단원구	중앙동
4127353500	경기도	안산시 단원구	호수동
4127354500	경기도	안산시 단원구	원곡동
4127355500	경기도	안산시 단원구	백운동
4127356500	경기도	안산시 단원구	신길동
4127357000	경기도	안산시 단원구	초지동
4127358000	경기도	안산시 단원구	선부1동
4127359000	경기도	안산시 단원구	선부2동
4127360000	경기도	안산시 단원구	선부3동
4127361000	경기도	안산시 단원구	대부동
4128151000	경기도	고양시 덕양구	주교동
4128152000	경기도	고양시 덕양구	원신동
4128153000	경기도	고양시 덕양구	흥도동
4128154000	경기도	고양시 덕양구	성사1동
4128155000	경기도	고양시 덕양구	성사2동
4128156000	경기도	고양시 덕양구	효자동
4128157600	경기도	고양시 덕양구	삼송1동
4128157700	경기도	고양시 덕양구	삼송2동
4128158000	경기도	고양시 덕양구	창릉동
4128159000	경기도	고양시 덕양구	고양동
4128160000	경기도	고양시 덕양구	관산동
4128161000	경기도	고양시 덕양구	능곡동
4128162100	경기도	고양시 덕양구	화정1동
4128162200	경기도	고양시 덕양구	화정2동
4128163000	경기도	고양시 덕양구	행주동
4128164000	경기도	고양시 덕양구	행신1동
4128165000	경기도	고양시 덕양구	행신2동
4128165500	경기도	고양시 덕양구	행신3동
4128165600	경기도	고양시 덕양구	행신4동
4128166000	경기도	고양시 덕양구	화전동
4128167000	경기도	고양시 덕양구	대덕동
4128551000	경기도	고양시 일산동구	식사동
